"Id_Cliente","Vol_Entrega","Latitud","Longitud","Zona"
1,2,20.506052,-98.212377,4
2,17,20.458128,-98.221248,4
3,2,20.530427,-98.23686,4
4,15,20.488655,-98.20294,2
4,15,20.488655,-98.20294,4
4,15,20.488655,-98.20294,5
5,2,20.533253,-98.219669,4
6,19,20.53106,-98.182642,2
7,6,20.594012,-98.1875,5
8,20,20.489329,-98.166364,6
9,15,20.5751,-98.2281,5
10,10,20.5807,-98.2694,1
11,45,20.458076,-98.175466,6
12,2,20.490847,-98.184088,2
13,13,20.537454,-98.140527,2
13,13,20.537454,-98.140527,4
14,17,20.523875,-98.238248,4
15,21,20.56259,-98.138353,3
16,12,20.5433,-98.228,5
17,13.5,20.519419,-98.228799,2
17,13.5,20.519419,-98.228799,4
18,7,20.539439,-98.231014,2
18,7,20.539439,-98.231014,4
19,11,20.547675,-98.130903,3
20,12,20.5715,-98.2583,1
21,20,20.6018,-98.2287,5
22,12,20.534294,-98.163798,2
22,12,20.534294,-98.163798,4
23,10,20.465644,-98.222902,2
23,10,20.465644,-98.222902,4
24,17,20.499111,-98.128627,2
24,17,20.499111,-98.128627,4
25,15,20.473419,-98.221992,2
25,15,20.473419,-98.221992,4
26,14,20.554421,-98.15779,3
27,18.33333333,20.465444,-98.173468,2
27,18.33333333,20.465444,-98.173468,4
27,18.33333333,20.465444,-98.173468,5
28,11.5,20.502785,-98.164261,2
28,11.5,20.502785,-98.164261,4
29,23.5,20.493008,-98.151931,2
29,23.5,20.493008,-98.151931,4
30,14.5,20.49743,-98.145606,2
30,14.5,20.49743,-98.145606,4
31,47.5,20.495552,-98.18625,2
31,47.5,20.495552,-98.18625,4
32,16.5,20.45594,-98.211674,2
32,16.5,20.45594,-98.211674,4
33,11,20.48117,-98.155563,2
33,11,20.48117,-98.155563,4
34,25,20.493948,-98.224957,4
35,16.5,20.482479,-98.1758,2
35,16.5,20.482479,-98.1758,4
36,22.5,20.554633,-98.195613,2
36,22.5,20.554633,-98.195613,4
37,18.5,20.462128,-98.161783,2
37,18.5,20.462128,-98.161783,4
38,11,20.547421,-98.190225,2
38,11,20.547421,-98.190225,4
39,23,20.473162,-98.147779,2
39,23,20.473162,-98.147779,4
40,15.5,20.463607,-98.180356,2
40,15.5,20.463607,-98.180356,4
41,13,20.522908,-98.208586,2
41,13,20.522908,-98.208586,5
42,10.5,20.533674,-98.173938,2
42,10.5,20.533674,-98.173938,5
43,12,20.493086,-98.117522,2
43,12,20.493086,-98.117522,5
44,12,20.526645,-98.15602,2
44,12,20.526645,-98.15602,5
45,28,20.501725,-98.127486,3
46,9.333333333,20.532144,-98.186759,2
46,9.333333333,20.532144,-98.186759,4
46,9.333333333,20.532144,-98.186759,5
47,15,20.47287,-98.192298,2
47,15,20.47287,-98.192298,5
48,3.5,20.49484,-98.228006,2
48,3.5,20.49484,-98.228006,5
49,18.5,20.496306,-98.235611,2
49,18.5,20.496306,-98.235611,5
50,10.5,20.516132,-98.212081,2
50,10.5,20.516132,-98.212081,5
51,23,20.4501,-98.2166,1
52,14.5,20.518438,-98.223294,2
52,14.5,20.518438,-98.223294,5
53,43,20.503456,-98.144774,2
53,43,20.503456,-98.144774,5
54,8.5,20.577456,-98.185753,2
54,8.5,20.577456,-98.185753,5
55,10.5,20.54071,-98.187598,2
55,10.5,20.54071,-98.187598,5
56,18.33333333,20.458749,-98.170414,2
56,18.33333333,20.458749,-98.170414,4
56,18.33333333,20.458749,-98.170414,5
57,21.66666667,20.495939,-98.18733,2
57,21.66666667,20.495939,-98.18733,4
57,21.66666667,20.495939,-98.18733,5
58,14.33333333,20.480026,-98.178043,2
58,14.33333333,20.480026,-98.178043,4
58,14.33333333,20.480026,-98.178043,5
59,5,20.534038,-98.204665,2
59,5,20.534038,-98.204665,5
60,4,20.529422,-98.204617,2
60,4,20.529422,-98.204617,5
61,10,20.50756,-98.222328,2
61,10,20.50756,-98.222328,5
62,22.5,20.462422,-98.149805,2
62,22.5,20.462422,-98.149805,5
63,36,20.449966,-98.216872,1
64,7.5,20.488714,-98.157698,2
64,7.5,20.488714,-98.157698,5
65,17,20.481474,-98.145925,2
65,17,20.481474,-98.145925,4
65,17,20.481474,-98.145925,5
66,9,20.548609,-98.179069,2
66,9,20.548609,-98.179069,5
67,4.5,20.532515,-98.182858,2
67,4.5,20.532515,-98.182858,5
68,15,20.515283,-98.199704,2
68,15,20.515283,-98.199704,5
69,14,20.524724,-98.174792,2
69,14,20.524724,-98.174792,5
70,6.5,20.52615,-98.177082,2
70,6.5,20.52615,-98.177082,5
71,35.5,20.51908,-98.124314,2
71,35.5,20.51908,-98.124314,5
72,14.5,20.508635,-98.169386,2
72,14.5,20.508635,-98.169386,5
73,21,20.527413,-98.227856,2
73,21,20.527413,-98.227856,5
74,14.5,20.477549,-98.211909,2
74,14.5,20.477549,-98.211909,5
75,9.5,20.492629,-98.230754,2
75,9.5,20.492629,-98.230754,5
76,30.5,20.485572,-98.19912,2
76,30.5,20.485572,-98.19912,5
77,19.5,20.454866,-98.179994,2
77,19.5,20.454866,-98.179994,5
78,9.5,20.5314,-98.2046,2
78,9.5,20.5314,-98.2046,5
79,9.5,20.5235,-98.2306,2
79,9.5,20.5235,-98.2306,5
80,13.5,20.503683,-98.161735,2
80,13.5,20.503683,-98.161735,5
81,31,20.504232,-98.173212,2
82,15,20.448693,-98.211302,2
82,15,20.448693,-98.211302,5
83,5.5,20.4802,-98.2382,2
83,5.5,20.4802,-98.2382,5
84,17,20.520784,-98.144438,2
84,17,20.520784,-98.144438,5
85,3,20.4696,-98.2186,4
86,22.5,20.492217,-98.149391,2
86,22.5,20.492217,-98.149391,5
87,18,20.476243,-98.168691,2
87,18,20.476243,-98.168691,5
88,15,20.497234,-98.232715,4
89,13,20.46455,-98.230342,2
89,13,20.46455,-98.230342,5
90,15.5,20.483394,-98.15303,2
90,15.5,20.483394,-98.15303,5
91,25.5,20.470415,-98.186302,2
91,25.5,20.470415,-98.186302,5
92,8.5,20.527643,-98.191137,2
92,8.5,20.527643,-98.191137,5
93,17.5,20.474128,-98.233201,2
93,17.5,20.474128,-98.233201,5
94,9,20.495234,-98.217019,2
94,9,20.495234,-98.217019,5
95,10.5,20.536645,-98.18587,2
95,10.5,20.536645,-98.18587,5
96,18.5,20.473549,-98.18943,2
96,18.5,20.473549,-98.18943,5
97,34.5,20.474206,-98.208561,2
97,34.5,20.474206,-98.208561,5
98,21,20.485109,-98.246224,1
99,8,20.527906,-98.17441,2
99,8,20.527906,-98.17441,5
100,21.5,20.50483,-98.141064,2
100,21.5,20.50483,-98.141064,5
101,7.5,20.4778,-98.1815,2
101,7.5,20.4778,-98.1815,5
102,10,20.5234,-98.18371,2
102,10,20.5234,-98.18371,4
102,10,20.5234,-98.18371,5
103,20.5,20.475039,-98.153927,2
103,20.5,20.475039,-98.153927,5
104,19,20.521495,-98.229581,2
104,19,20.521495,-98.229581,5
105,12,20.528102,-98.217267,2
105,12,20.528102,-98.217267,5
106,22,20.480415,-98.279344,2
106,22,20.480415,-98.279344,5
107,28,20.566921,-98.133002,3
108,13,20.486465,-98.129685,2
108,13,20.486465,-98.129685,5
109,11.5,20.485352,-98.192131,2
109,11.5,20.485352,-98.192131,5
110,18.33333333,20.485803,-98.188667,2
110,18.33333333,20.485803,-98.188667,4
110,18.33333333,20.485803,-98.188667,5
111,14,20.461937,-98.177861,2
111,14,20.461937,-98.177861,4
111,14,20.461937,-98.177861,5
112,4,20.52075,-98.259616,1
113,8,20.532465,-98.203786,5
114,9,20.522612,-98.185379,2
114,9,20.522612,-98.185379,4
114,9,20.522612,-98.185379,5
115,22.5,20.551607,-98.137348,2
115,22.5,20.551607,-98.137348,5
116,11,20.465089,-98.238769,2
116,11,20.465089,-98.238769,5
117,39,20.470469,-98.19979,2
117,39,20.470469,-98.19979,5
118,13,20.53624,-98.199864,2
118,13,20.53624,-98.199864,5
119,36,20.489828,-98.202713,2
119,36,20.489828,-98.202713,5
120,8,20.478005,-98.206183,2
120,8,20.478005,-98.206183,4
120,8,20.478005,-98.206183,5
121,1,20.52385,-98.213734,4
122,28.5,20.525172,-98.157348,2
122,28.5,20.525172,-98.157348,5
123,25,20.479673,-98.16073,6
124,13.5,20.543262,-98.178655,2
124,13.5,20.543262,-98.178655,5
125,25,20.495153,-98.131315,2
125,25,20.495153,-98.131315,5
126,24.5,20.494344,-98.226674,2
126,24.5,20.494344,-98.226674,5
127,18,20.469681,-98.175219,2
127,18,20.469681,-98.175219,5
128,23,20.504168,-98.147131,2
129,6,20.540766,-98.184941,5
130,12,20.52692,-98.213034,2
130,12,20.52692,-98.213034,5
131,10.5,20.467558,-98.21856,2
131,10.5,20.467558,-98.21856,5
132,5,20.5493,-98.202245,2
132,5,20.5493,-98.202245,5
133,29,20.490107,-98.139182,2
133,29,20.490107,-98.139182,5
134,17.5,20.462276,-98.226731,2
134,17.5,20.462276,-98.226731,5
